A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,label
-113.62058378377026,-26.834324680220583,22.775540618823584,-21.537707322727137,42.02115070519877,7.337018466754688,7.290641884635697,-2.7208832146988167,-1.592103437789005,-1.9206260631323033,0
-70.69707998081662,-28.337997028923997,12.828009803126772,-15.46741312714836,22.670616688943976,5.5255230492161145,18.149673727990223,-1.4469438172901155,-6.587374486253763,1.1380015605600327,0
-48.90055293431325,-28.98851825933371,8.89159776798513,-3.1852712428133385,6.587739214915747,0.9830175826376092,4.177075216984271,0.8127587390536698,-2.7264287924852537,2.022614637646568,0
-39.83064503799085,-28.3958337969969,7.439658549596579,-3.9905382859041514,0.9789063602639625,-1.1845967700414086,-4.960385112785925,0.685373995379125,2.180143432475261,1.3960451015073039,0
-44.02023478064741,-22.708862083136104,6.077340762495386,-8.917243296613895,-7.38913449410521,-0.7532222599114563,-2.0893085797760342,3.44945750692419,0.11414245195318169,-3.5886753700662135,0
-52.08481732466225,-15.848345369541393,0.8587449119643641,-14.671154101082982,-13.175057329890041,0.8330632849327327,0.4555444641587384,4.97217748369327,3.3804708030360344,-3.6964332178568884,0
-66.96554824181665,-13.238496728287592,-4.207414329497514,-6.612341532198539,5.841951223139387,-2.5572723313334587,6.125226746425933,-7.9430515308115135,14.421154961553968,1.0561989151843156,0
-49.92566756047274,-17.896981110884557,-2.2548307540629025,-2.5274887789352296,18.126346760820926,-2.68871369990475,-0.5090247953946493,-5.661656078748192,12.271806270942864,-1.255581179216731,0
-9.82905202311783,-22.26242646138781,-3.8720324470787797,5.870632187836134,-1.1662238226601265,-0.8003404656187663,6.642553486830354,-4.359347583266223,5.72000186020288,-2.5129318749008536,0
-5.2466914728060035,-25.16435406802758,-5.165187576744408,7.418403319341826,3.0072472582000773,0.17515728355982982,0.9420557445116952,-4.628702235531171,6.689234336463894,0.24622659585291634,0
-0.9119800864224612,-24.30283385171283,-2.2194564407521185,7.159923320083283,4.699702599959519,-0.286115659822998,-2.602309274156623,2.766279905192498,7.231957394981971,2.3783530890113735,0
15.873006728136007,-23.950605025289573,-6.620628008468278,2.2997027365636433,3.817100065188691,-5.259674390855513,6.38383353277224,2.0782698238868913,-5.2451106584818925,4.7997012472423535,0
23.567253863513777,-24.301610961838772,-11.068055263209173,13.069965508461905,5.194794977502485,-7.63616013257446,9.89922829575308,-1.0613424729369592,-7.1935594884612,-0.49397493098518713,0
40.972388163512974,-21.240278855274,-14.08243957097644,16.75697717484965,5.380805441892516,-4.816183043478259,-4.934108394747773,4.050477721302655,-0.8543182897104078,0.3645550519887931,0
47.96309557131531,-20.662624269859187,-11.170239476254668,9.895267537199281,-1.0527121610092713,-3.722077226403668,5.990713376432215,2.5124759551380476,3.0808318786054834,2.9195850966353447,0
42.53991858233373,-15.10607956855523,-13.50914515871275,15.61051272136241,-7.063251807355704,-2.5046157230472668,4.921062541686916,4.576157923071553,-0.11916898168001297,0.11526424552703195,0
26.55441871396347,-9.182867272749917,-12.59558747608651,21.28507917439303,-20.384699849311552,-0.6819928463085656,3.296555444927384,7.895752933747976,-2.7113218668413506,-7.968333549471831,0
1.906822629462617,-5.166887768327019,-9.01930013534043,23.35080724715855,-24.734764582059565,6.283553097022158,-2.0635422546893274,4.578197326822634,-1.512685897705078,-2.498490529586567,0
-66.08868863346552,-13.864778151376202,7.598087903208852,5.806977440507969,-17.46074894114832,-2.2516318140157003,6.996067496066859,1.498571530221005,3.522124457581283,-1.871226990800673,0
